firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou,HomeDirectory,HomeDrive,ProfilePath
Madelief,M,Smets,Mad_Sme,Mad_Sme@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Directeur,Pa$$w0rd,214-800-4101,Directeur,AventusRocks,"OU=Directie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Jolanda,J.L.B.,Brands,Jol_Bra,Jol_Bra@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Adjunct Automatisering,Pa$$w0rd,214-800-4111,Adjunct-directeur,AventusRocks,"OU=Directie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Henk,H,Pell,Hen_Pel,Hen_Pel@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Adjunct Verkoop,Pa$$w0rd,214-800-4131,Adjunct-directeur,AventusRocks,"OU=Directie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Teus,T,de Jong,Teu_Jon,Teu_Jon@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Adjunct Administratie,Pa$$w0rd,214-800-4087,Adjunct-directeur,AventusRocks,"OU=Directie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Dick,D.M.S.,Brinkman,Dic_Bri,Dic_Bri@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Adjunct Productie,Pa$$w0rd,214-800-4612,Adjunct Productie,AventusRocks,"OU=Directie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Danique,D,Voss,Dan_Vos,Dan_Vos@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Hoofd Staf,Pa$$w0rd,214-800-4003,Hoofd,AventusRocks,"OU=Staf,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Loes,L,Heijnen,Loe_Hei,Loe_Hei@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Receptioniste/Telefoniste,Pa$$w0rd,214-800-4001,Medewerker,AventusRocks,"OU=Staf,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Wiel,W.N.N.,Nouwen,Wie_Nou,Wie_Nou@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Account Manager,Pa$$w0rd,214-800-4077,Medewerker,AventusRocks,"OU=Verkoop,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Dirk,D,Bogert,Dir_Bog,Dir_Bog@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Boekhouder,Pa$$w0rd,214-800-4142,Medewerker,AventusRocks,"OU=Administratie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
Karin,K,Visse,Kar_Vis,Kar_Vis@AventusRocks162910.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,Nederland,Secretaresse,Pa$$w0rd,214-800-4206,Medewerker,AventusRocks,"OU=Productie,OU=Afdelingen,DC=PoliForma,DC=nl",\\DC162910\UserFolders$\%username%,Z:,\\DC162910\UserProfiles$\%username%
